Chef~ Zipcode~ Number Of Stars~ Link 
PhilippeDa Silva~ 83830~ 1 star~ https://restaurant.michelin.fr/2blmwvy/hostellerie-les-gorges-de-pennafort-callas 
Loïc Lecoin~ 16310~ 1 star~ https://restaurant.michelin.fr/2f0stuh/dyades-au-domaine-des-etangs-massignac 
Hideki Nishi~ 75015~ 1 star~ https://restaurant.michelin.fr/9fkib5i9/neige-dete-paris-15 
Saito Terumitsu~ 75015~ 1 star~ https://restaurant.michelin.fr/4033946/pilgrim-paris-15 
Kwen Liew et Ryunosuke Naito~ 75007~ 1 star~ https://restaurant.michelin.fr/5sermc3/pertinence-paris-07 
Philippe Le Bigot~ 29200~ 1 star~ https://restaurant.michelin.fr/2epv4gf/le-m-brest 
Christophe Martin~ 06560~ 1 star~ https://restaurant.michelin.fr/41vsxiz/lou-cigalon-maison-martin-valbonne 
Jérémy Galvan~ 69005~ 1 star~ https://restaurant.michelin.fr/3plxd2e/jeremy-galvan-lyon-05 
Olivier Bellin~ 29550~ 2 stars~ https://restaurant.michelin.fr/2akhln2/lauberge-des-glazicks-plomodiern 
Bruno Poiré~ 57810~ 1 star~ https://restaurant.michelin.fr/29pia6z/chez-michele-languimberg 
Eric Frechon~ 75008~ 3 stars~ https://restaurant.michelin.fr/2ab8pfp/epicure-paris-08 
Julia Sedefdjian~ 75005~ 1 star~ https://restaurant.michelin.fr/3750236/baieta-paris-05 
Ryuji Teshima~ 75016~ 1 star~ https://restaurant.michelin.fr/9idrgh03/pages-paris-16 
Jacques Bertrand~ 26600~ 2 stars~ https://restaurant.michelin.fr/2appio4/les-cedres-granges-les-beaumont 
Keishi Sugimura~ 21200~ 1 star~ https://restaurant.michelin.fr/28u9h7z/le-benaton-beaune 
Régis Douysset~ 92190~ 1 star~ https://restaurant.michelin.fr/2dtzs6c/lescarbille-meudon 
Sébastien Riou~ 24000~ 1 star~ https://restaurant.michelin.fr/p47009z/un-parfum-de-gourmandise-perigueux 
Alexandre Mazzia~ 13008~ 2 stars~ https://restaurant.michelin.fr/4gq15sff/am-par-alexandre-mazzia-marseille-08 
Akrame Benallal~ 75008~ 1 star~ https://restaurant.michelin.fr/2851396/akrame-paris-08 
David Sulpice~ 40510~ 1 star~ https://restaurant.michelin.fr/2dtglr4/villa-de-letang-blanc-seignosse 
Christian Gaulin~ 71000~ 1 star~ https://restaurant.michelin.fr/29uvz3j/pierre-macon 
Jonathan Bigaré~ 35350~ 1 star~ https://restaurant.michelin.fr/2byuiv7/la-gouesniere-saint-meloir-des-ondes 
Camille Pailleau et Diego Delbecq~ 59000~ 1 star~ https://restaurant.michelin.fr/4036171/rozo-lille 
Alan Taudon~ 75008~ 1 star~ https://restaurant.michelin.fr/2851286/lorangerie-paris-08 
Jean-Michel Lorain~ 89300~ 2 stars~ https://restaurant.michelin.fr/2c2ma30/la-cote-saint-jacques-joigny 
Julien Gatillon~ 74120~ 2 stars~ https://restaurant.michelin.fr/3409276/1920-megeve 
Régis etJacques Marcon~ 43290~ 3 stars~ https://restaurant.michelin.fr/2dntkxh/regis-et-jacques-marcon-saint-bonnet-le-froid 
Yannick Duc~ 40230~ 1 star~ https://restaurant.michelin.fr/2d9288s/le-hittau-saint-vincent-de-tyrosse 
Guy Martin~ 75001~ 2 stars~ https://restaurant.michelin.fr/2a7edmf/le-grand-vefour-paris-01 
Jan Hendrik van der Westhuizen~ 06000~ 1 star~ https://restaurant.michelin.fr/38z104i7/jan-nice 
Jérémie Izarn~ 38570~ 1 star~ https://restaurant.michelin.fr/2dr8ble/la-tour-des-sens-tencin 
Guillaume Roget~ 64500~ 1 star~ https://restaurant.michelin.fr/2atl5nc/le-brouillarta-saint-jean-de-luz 
Luc Mobihan~ 35400~ 1 star~ https://restaurant.michelin.fr/2av98t5/le-st-placide-saint-malo 
Mi-Ra et Charles Thuillant~ 14800~ 1 star~ https://restaurant.michelin.fr/40jnqvq/lessentiel-deauville 
Thierry Marx~ 75001~ 2 stars~ https://restaurant.michelin.fr/6f226za/sur-mesure-par-thierry-marx-paris-01 
Maxime Lebrun~ 24200~ 1 star~ https://restaurant.michelin.fr/2d6bc3s/le-grand-bleu-sarlat-la-caneda 
Koji Aida~ 75007~ 1 star~ https://restaurant.michelin.fr/2dzh7q2/aida-paris-07 
Mauro Colagreco~ 06500~ 3 stars~ https://restaurant.michelin.fr/2d440f7/mirazur-menton 
Xavier Mathieu~ 84220~ 1 star~ https://restaurant.michelin.fr/2c2u7lh/xavier-mathieu-joucas 
Reine et Nadia Sammut~ 84160~ 1 star~ https://restaurant.michelin.fr/29sgjsx279/auberge-la-feniere-cadenet 
Nicolas Borombo~ 64500~ 1 star~ https://restaurant.michelin.fr/2atmq22/le-kaiku-saint-jean-de-luz 
Thomas Boullault~ 75008~ 1 star~ https://restaurant.michelin.fr/2e8vcj7/larome-paris-08 
~ 75008~ 1 star~ https://restaurant.michelin.fr/3503291/lecrin-paris-08 
Massimo Tringali~ 75006~ 1 star~ https://restaurant.michelin.fr/3044086/armani-ristorante-paris-06 
Armand Arnal~ 13200~ 1 star~ https://restaurant.michelin.fr/28qr6q2/la-chassagnette-arles 
Laurent Arbeit~ 68510~ 1 star~ https://restaurant.michelin.fr/2b05ga9/auberge-st-laurent-sierentz 
Frédéric Michel~ 01190~ 1 star~ https://restaurant.michelin.fr/2al9714/le-raisin-pont-de-vaux 
Frédérik Bizat~ 46400~ 1 star~ https://restaurant.michelin.fr/2coonxc/les-trois-soleils-de-montal-saint-cere 
Chatchai Klanklong~ 68130~ 1 star~ https://restaurant.michelin.fr/4039781/lorchidee-altkirch 
Benjamin Bruno~ 83510~ 1 star~ https://restaurant.michelin.fr/29s5co3/bruno-lorgues 
Laurent Saudeau~ 44115~ 2 stars~ https://restaurant.michelin.fr/2a3ey4n/manoir-de-la-boulaie-haute-goulaine 
Laurent Magnin~ 75018~ 1 star~ https://restaurant.michelin.fr/vx40rloc/larcane-paris-18 
Jean-François Malle~ 69890~ 1 star~ https://restaurant.michelin.fr/29uqy46/la-rotonde-la-tour-de-salvagny 
Perochon Jean Marc~ 85470~ 1 star~ https://restaurant.michelin.fr/2dyiess/jean-marc-perochon-bretignolles-sur-mer 
Sébastien Bonnet~ 26400~ 1 star~ https://restaurant.michelin.fr/29bkalt/le-kleber-crest 
Christophe Dufau~ 06140~ 1 star~ https://restaurant.michelin.fr/2en7eas/les-bacchanales-vence 
Julien Allano~ 26230~ 1 star~ https://restaurant.michelin.fr/2faahd5/le-clair-de-la-plume-grignan 
Daniel et Stéphane Chambon~ 46200~ 1 star~ https://restaurant.michelin.fr/29p8ja1/pont-de-louysse-lacave 
Virginie Basselot~ 06000~ 2 stars~ https://restaurant.michelin.fr/2a4echf50/le-chantecler-nice 
Rémy Giraud~ 41150~ 2 stars~ https://restaurant.michelin.fr/2cedaza/domaine-des-hauts-de-loire-onzain 
Alain Montigny~ 06210~ 1 star~ https://restaurant.michelin.fr/29v9df2/loasis-mandelieu-la-napoule 
Alain Mihura~ 95540~ 1 star~ https://restaurant.michelin.fr/2ago3w6/le-chiquito-mery-sur-oise 
Gordon Ramsay et le Chef Exécutif Gilad Peled~ 33000~ 2 stars~ https://restaurant.michelin.fr/2epcrm9/le-pressoir-dargent-gordon-ramsay-bordeaux 
Sébastien Vauxion~ 73120~ 1 star~ https://restaurant.michelin.fr/4040361/sarkara-courchevel-1850 
Arnaud Philippon~ 37400~ 1 star~ https://restaurant.michelin.fr/2bcbfo0/chateau-de-pray-charge 
Olivier Samin~ 07800~ 1 star~ https://restaurant.michelin.fr/2fa4jx5/le-carre-dalethius-charmes-sur-rhone 
Guillaume Royer~ 21360~ 1 star~ https://restaurant.michelin.fr/2e4epe8/1131-la-bussiere-sur-ouche 
Marc Meurin~ 62350~ 2 stars~ https://restaurant.michelin.fr/2dyfstx/meurin-busnes 
Jacques Chibois~ 06130~ 1 star~ https://restaurant.michelin.fr/29ktfvn/la-bastide-st-antoine-grasse 
Yves Kieffer~ 67700~ 1 star~ https://restaurant.michelin.fr/2az3rad/kasbur-monswiller 
Nicolas Masse~ 33650~ 2 stars~ https://restaurant.michelin.fr/28yhuxy/la-grandvigne-martillac 
Julien Le Goff~ 83400~ 1 star~ https://restaurant.michelin.fr/2c1rglq/lolivier-hyeres 
Laurent Deconinck~ 84190~ 1 star~ https://restaurant.michelin.fr/2dfwq14/loustalet-gigondas 
Xavier Isabal~ 64250~ 1 star~ https://restaurant.michelin.fr/2bbain5/ithurria-ainhoa 
Pascal Borrell~ 66650~ 1 star~ https://restaurant.michelin.fr/yw26sgs/le-fanal-banyuls-sur-mer 
LE Cheviller Nikolaz~ 20137~ 1 star~ https://restaurant.michelin.fr/2e7dmcj/u-santa-marina-porto-vecchio 
Sylvestre Wahid~ 75007~ 2 stars~ https://restaurant.michelin.fr/2fe7j1g/sylvestre-paris-07 
GuyLassausaie~ 69380~ 1 star~ https://restaurant.michelin.fr/295zuzb/guy-lassausaie-chasselay 
Alain Llorca~ 06480~ 1 star~ https://restaurant.michelin.fr/2e4vi29/alain-llorca-la-colle-sur-loup 
Jérôme Masson~ 83230~ 1 star~ https://restaurant.michelin.fr/2dfjaik/la-rastegue-bormes-les-mimosas 
Cédric Béchade~ 64310~ 1 star~ https://restaurant.michelin.fr/2efx4u4/lauberge-basque-saint-pee-sur-nivelle 
Sébastien Bras~ 12210~ 2 stars~ https://restaurant.michelin.fr/2c3ezsd/bras-laguiole 
Carlos Camino~ 69006~ 1 star~ https://restaurant.michelin.fr/2jcivvu3/miraflores-lyon-06 
Paolo Sari~ 06190~ 1 star~ https://restaurant.michelin.fr/9p2kj2b/elsa-cap-martin 
Damien Goguet~ 50270~ 1 star~ https://restaurant.michelin.fr/2bgh04f/la-marine-carteret 
Alexandre Baumard~ 33330~ 1 star~ https://restaurant.michelin.fr/3kw7mh1/logis-de-la-cadene-saint-emilion 
Julien Boscus~ 75007~ 1 star~ https://restaurant.michelin.fr/3x7v6dz/les-climats-paris-07 
Cédric Burtin~ 71100~ 1 star~ https://restaurant.michelin.fr/294rtmv/lamaryllis-saint-remy 
Baptiste Poinot~ 26000~ 1 star~ https://restaurant.michelin.fr/2e043qi/flaveurs-valence 
Stéphane Dattrino~ 74000~ 1 star~ https://restaurant.michelin.fr/9tr3fvt/lesquisse-annecy 
~ 75007~ 2 stars~ https://restaurant.michelin.fr/2ei5hub/david-toutain-paris-07 
FREDERIC SIMONIN~ 75017~ 1 star~ https://restaurant.michelin.fr/2f8857v/frederic-simonin-paris-17 
Olivier Prévôt-Carme~ 25200~ 1 star~ https://restaurant.michelin.fr/29zciea/le-st-martin-montbeliard 
Eric Sapet~ 84160~ 1 star~ https://restaurant.michelin.fr/29c2o3y/la-petite-maison-de-cucuron-cucuron 
Sylvain Joffre~ 31130~ 1 star~ https://restaurant.michelin.fr/s5y0mmq/en-pleine-nature-fonsegrives 
Yoshiaki Ito~ 75116~ 1 star~ https://restaurant.michelin.fr/2852206/larcheste-paris-16 
Ayumi Sugiyama etRomain Mahi~ 75002~ 1 star~ https://restaurant.michelin.fr/4036951/accents-table-bourse-paris-02 
Thomas Vonderscher~ 31000~ 1 star~ https://restaurant.michelin.fr/ua83vloo/le-cenacle-toulouse 
Fumiko et Anthony Maubert~ 41000~ 1 star~ https://restaurant.michelin.fr/3m0pjn8/assa-blois 
Le Chef Julien Binz~ 68770~ 1 star~ https://restaurant.michelin.fr/yi79hbnh/julien-binz-ammerschwihr 
Stéphanie Le Quellec~ 75008~ 2 stars~ https://restaurant.michelin.fr/1ore4aj2/la-scene-paris-08 
Anthony Lumet~ 85360~ 1 star~ https://restaurant.michelin.fr/376ocf6f/le-pousse-pied-la-tranche-sur-mer 
Tomy Gousset~ 75007~ 1 star~ https://restaurant.michelin.fr/2852136/tomy-co-paris-07 
Laurent Azoulay~ 73550~ 1 star~ https://restaurant.michelin.fr/9isyik39/lekrin-laurent-azoulay-meribel-mottaret 
Xavier Taffart~ 17920~ 1 star~ https://restaurant.michelin.fr/2dk9wkt/laquarelle-breuillet 
Jean-François Rouquette~ 75002~ 1 star~ https://restaurant.michelin.fr/2dqiunf/pur-jean-francois-rouquette-paris-02 
William Frachot~ 21000~ 2 stars~ https://restaurant.michelin.fr/2buprmi/william-frachot-dijon 
Florent Pietravalle~ 84000~ 1 star~ https://restaurant.michelin.fr/2bf3czu/la-mirande-avignon 
Arnaud Faye, Chef Exécutif et Julien Dugourd, Chef Pâtissier~ 06360~ 2 stars~ https://restaurant.michelin.fr/2bwkh5l/la-chevre-dor-eze 
Anthony Caillot~ 14000~ 1 star~ https://restaurant.michelin.fr/3wc5nsy/contre-sens-caen 
Benjamin Toursel~ 47310~ 1 star~ https://restaurant.michelin.fr/2dl7htu/auberge-le-prieure-moirax 
Laurent Petit~ 74940~ 3 stars~ https://restaurant.michelin.fr/28pf13h/le-clos-des-sens-annecy-le-vieux 
Shinichi Sato~ 75002~ 2 stars~ https://restaurant.michelin.fr/2ezpxm7/passage-53-paris-02 
Claude-Emmanuel Robin~ 46160~ 1 star~ https://restaurant.michelin.fr/aisrm50/lallee-des-vignes-cajarc 
Loïc Lefebvre~ 68000~ 1 star~ https://restaurant.michelin.fr/2ewn3lj/latelier-du-peintre-colmar 
Christian Le Squer~ 75008~ 3 stars~ https://restaurant.michelin.fr/2ab2thp/le-cinq-paris-08 
Vincent David~ 56890~ 1 star~ https://restaurant.michelin.fr/2b6sa1u/le-pressoir-saint-ave 
Takuya Watanabe~ 75001~ 1 star~ https://restaurant.michelin.fr/1t2b08px/jin-paris-01 
Georges BLANC~ 01540~ 3 stars~ https://restaurant.michelin.fr/2d3ergs/georges-blanc-vonnas 
Nicolas Rondelli~ 06600~ 1 star~ https://restaurant.michelin.fr/29ol879/les-pecheurs-antibes 
Lieven Van Aken~ 13520~ 1 star~ https://restaurant.michelin.fr/9wstvf9t/laupiho-les-baux-de-provence 
Nolwenn Corre~ 29217~ 1 star~ https://restaurant.michelin.fr/2brleio/hostellerie-de-la-pointe-st-mathieu-le-conquet 
Serge et Maxime Chenet~ 30131~ 1 star~ https://restaurant.michelin.fr/2etuup9/entre-vigne-et-garrigue-pujaut 
Alan Geaam~ 75016~ 1 star~ https://restaurant.michelin.fr/3045466/alan-geaam-paris-16 
~ 34120~ 1 star~ https://restaurant.michelin.fr/4041396/restaurant-de-lauzun-pezenas 
Michaël Fulci~ 06410~ 1 star~ https://restaurant.michelin.fr/28x308q/les-terraillers-biot 
Laurent Lemal~ 66720~ 1 star~ https://restaurant.michelin.fr/3w3putu/la-cooperative-belesta 
~ 75001~ 1 star~ https://restaurant.michelin.fr/4042311/la-poule-au-pot-paris-01 
Olivier Da Silva~ 76000~ 1 star~ https://restaurant.michelin.fr/33tyod0j/lodas-rouen 
Fabio Bragagnolo~ 20137~ 2 stars~ https://restaurant.michelin.fr/2dk81h5143/casadelmar-porto-vecchio 
Patrick Michelon~ 51200~ 1 star~ https://restaurant.michelin.fr/29fhuzu/les-berceaux-epernay 
Alexandre Couillon~ 85330~ 2 stars~ https://restaurant.michelin.fr/29n79hz/la-marine-lherbaudiere 
David Etcheverry~ 35760~ 1 star~ https://restaurant.michelin.fr/2ao631n/le-saison-saint-gregoire 
Tristan Robreau~ 45000~ 1 star~ https://restaurant.michelin.fr/2f48mjv/le-lievre-gourmand-orleans 
Jean-Yves Schillinger~ 68000~ 2 stars~ https://restaurant.michelin.fr/298563e/jys-colmar 
Stéphane Gaborieau~ 75116~ 1 star~ https://restaurant.michelin.fr/2aeinde/le-pergolese-paris-16 
Jean Coussau~ 40140~ 2 stars~ https://restaurant.michelin.fr/2c6dfrz/relais-de-la-poste-magescq 
Josselin Jeanblanc~ 73440~ 1 star~ https://restaurant.michelin.fr/ui89zrwk/les-explorateurs-val-thorens 
Samuel Lee~ 75016~ 1 star~ https://restaurant.michelin.fr/2fcezsf205/shang-palace-paris-16 
Steven Naessens~ 39600~ 2 stars~ https://restaurant.michelin.fr/28pylpu/maison-jeunet-arbois 
Christian Têtedoie~ 69005~ 1 star~ https://restaurant.michelin.fr/29tfnmd288/tetedoie-lyon-05 
Loris Cornacchia~ 84220~ 1 star~ https://restaurant.michelin.fr/r9fvmyyv/peir-gordes 
Tony Lestienne~ 62200~ 1 star~ https://restaurant.michelin.fr/28yvb9u/la-matelote-boulogne-sur-mer 
Philippe Hardy~ 50560~ 1 star~ https://restaurant.michelin.fr/2edzchf/le-mascaret-blainville-sur-mer 
Mathieu Aumont~ 22000~ 1 star~ https://restaurant.michelin.fr/2aru9pt/aux-pesked-saint-brieuc 
Guy SAVOY~ 75006~ 3 stars~ https://restaurant.michelin.fr/2afciv4/guy-savoy-paris-06 
Raphaël Vionnet~ 74200~ 1 star~ https://restaurant.michelin.fr/6pyhps6h/raphael-vionnet-thonon-les-bains 
Philippe Arrambide~ 64220~ 1 star~ https://restaurant.michelin.fr/2cqrobi/les-pyrenees-saint-jean-pied-de-port 
Vincent Lucas~ 24440~ 1 star~ https://restaurant.michelin.fr/2ejolq7/etincelles-la-gentilhommiere-sainte-sabine 
Stéphane Carbone~ 14000~ 1 star~ https://restaurant.michelin.fr/2enzj8x/stephane-carbone-caen 
Nicolas Sale~ 75001~ 2 stars~ https://restaurant.michelin.fr/yhoi9vry/ritz-paris-la-table-de-lespadon-paris-01 
Gaël et Mickaël Tourteaux~ 06000~ 2 stars~ https://restaurant.michelin.fr/2exgwy4/flaveur-nice 
Anne-Sophie Pic~ 26000~ 3 stars~ https://restaurant.michelin.fr/2d0hddd/pic-valence 
Arkadiusz Zuchmanski~ 63000~ 1 star~ https://restaurant.michelin.fr/2ek9zhh/apicius-clermont-ferrand 
Pascal Bastian~ 67510~ 2 stars~ https://restaurant.michelin.fr/29qf1y7/auberge-du-cheval-blanc-lembach 
Alberico Penati~ 75008~ 1 star~ https://restaurant.michelin.fr/9oo4cel/penati-al-baretto-paris-08 
~ 75008~ 3 stars~ https://restaurant.michelin.fr/2ab76wf/alain-ducasse-au-plaza-athenee-paris-08 
Hubert Nobis~ 61450~ 1 star~ https://restaurant.michelin.fr/29hyxpk/auberge-de-la-mine-gue-plat 
Grégory Mirer~ 84220~ 1 star~ https://restaurant.michelin.fr/2byq8tg/les-bories-gordes 
Daniel Ettlinger~ 06650~ 1 star~ https://restaurant.michelin.fr/2aqst5c/le-clos-st-pierre-saint-pons 
Marc Haeberlin~ 68970~ 2 stars~ https://restaurant.michelin.fr/29nft26/auberge-de-lill-illhaeusern 
Alexis Albrecht~ 67860~ 1 star~ https://restaurant.michelin.fr/2aogs9u/au-vieux-couvent-rhinau 
Ronan Kervarrec~ 33330~ 2 stars~ https://restaurant.michelin.fr/2cp6y7n/hostellerie-de-plaisance-saint-emilion 
Jérôme Roy~ 04300~ 1 star~ https://restaurant.michelin.fr/2ep5ghq/le-cloitre-mane 
Thomas L'Hérisson~ 33420~ 1 star~ https://restaurant.michelin.fr/2athka8/auberge-st-jean-saint-jean-de-blaignac 
Eric Guérin~ 44720~ 1 star~ https://restaurant.michelin.fr/2atvlv0/la-mare-aux-oiseaux-saint-joachim 
Thierry Conte~ 78380~ 1 star~ https://restaurant.michelin.fr/2agf0d1/le-camelia-bougival 
Xavier Burelle~ 06250~ 1 star~ https://restaurant.michelin.fr/2a1fgdk/le-candille-mougins 
Julien Lucas~ 60500~ 1 star~ https://restaurant.michelin.fr/jgutdlg/la-table-du-connetable-chantilly 
Frédéric Molina~ 74470~ 1 star~ https://restaurant.michelin.fr/bca0zrw3/le-moulin-de-lere-vailly 
Masashi Ijichi~ 26000~ 1 star~ https://restaurant.michelin.fr/2dyaa0w/la-cachette-valence 
Andreas Møller~ 75008~ 1 star~ https://restaurant.michelin.fr/2916876/copenhague-paris-08 
Laurent et Thibault Laplaige~ 51100~ 1 star~ https://restaurant.michelin.fr/2ank1c1/le-millenaire-reims 
Alain Gardillou~ 24530~ 1 star~ https://restaurant.michelin.fr/2bk7w2q/le-moulin-du-roc-champagnac-de-belair 
Éric Mariottat~ 47000~ 1 star~ https://restaurant.michelin.fr/28n68fe/mariottat-agen 
Jean-Alexandre Ouaratta~ 69620~ 1 star~ https://restaurant.michelin.fr/2bfuk4c/1217-bagnols 
Alain Passard~ 75007~ 3 stars~ https://restaurant.michelin.fr/2aa11xs/arpege-paris-07 
Shinsuke Nakatani~ 75007~ 1 star~ https://restaurant.michelin.fr/3x81832/nakatani-paris-07 
Jean-François Piège~ 75008~ 2 stars~ https://restaurant.michelin.fr/u5aaw2ah/le-grand-restaurant-jean-francois-piege-paris-08 
Benoit Vidal~ 73150~ 2 stars~ https://restaurant.michelin.fr/2e1ykis/latelier-dedmond-val-disere 
Yoshinori Morié~ 75006~ 1 star~ https://restaurant.michelin.fr/3361741/yoshinori-paris-06 
Nicolas le Tirrand~ 75008~ 1 star~ https://restaurant.michelin.fr/2abcqvg/lasserre-paris-08 
Pierre Caillet~ 76540~ 1 star~ https://restaurant.michelin.fr/2b6gbtl/le-bec-au-cauchois-valmont 
Mathieu Pacaud~ 75007~ 1 star~ https://restaurant.michelin.fr/2852181/divellec-paris-07 
Ivan Vautier~ 14000~ 1 star~ https://restaurant.michelin.fr/290z3mh/ivan-vautier-caen 
Fabien Mengus~ 57230~ 1 star~ https://restaurant.michelin.fr/yjkdc8kf/larnsbourg-baerenthal 
Fabian Feldmann~ 64200~ 1 star~ https://restaurant.michelin.fr/h2j2em3/limpertinent-biarritz 
Jean-Marc KIENY~ 68400~ 1 star~ https://restaurant.michelin.fr/2a22p1u/maison-kieny-riedisheim 
Hubert Duchenne~ 75004~ 1 star~ https://restaurant.michelin.fr/2851556/restaurant-h-paris-04 
Sébastien Sanjou~ 83460~ 1 star~ https://restaurant.michelin.fr/28qae64/le-relais-des-moines-les-arcs 
Jérôme Ryon~ 11000~ 1 star~ https://restaurant.michelin.fr/292xja3/la-barbacane-carcassonne 
Philippe Girardon~ 38121~ 1 star~ https://restaurant.michelin.fr/2b8j4np/la-table-de-philippe-girardon-chonas-lamballan 
Dominique Giraudeau et Pascal Champion~ 51500~ 1 star~ https://restaurant.michelin.fr/2anw751/le-grand-cerf-montchenot 
Nicolas Decherchi~ 06250~ 1 star~ https://restaurant.michelin.fr/280mq6yn/paloma-mougins 
Romuald ROYER~ 20110~ 1 star~ https://restaurant.michelin.fr/29ajku0/le-lido-propriano 
Anne-Sophie Pic~ 75001~ 1 star~ https://restaurant.michelin.fr/jgnpf8y/la-dame-de-pic-paris-01 
Charles Fontes~ 34000~ 1 star~ https://restaurant.michelin.fr/2d8d9p1/la-reserve-rimbaud-montpellier 
Toshitaka Omiya~ 75005~ 1 star~ https://restaurant.michelin.fr/t4cp5kaa/alliance-paris-05 
Jean-ClaudeLeclerc~ 63000~ 1 star~ https://restaurant.michelin.fr/297ge86/jean-claude-leclerc-clermont-ferrand 
Clément Bouvier~ 73320~ 1 star~ https://restaurant.michelin.fr/2f5gm14/ursus-tignes 
Nicolas Isnard et David Le Comte~ 21370~ 1 star~ https://restaurant.michelin.fr/29dyqga/auberge-de-la-charme-prenois 
Jean-Marie et Hubert Chanove~ 74140~ 1 star~ https://restaurant.michelin.fr/29uv8a7/le-refuge-des-gourmets-machilly 
Stéphane Pitré~ 75009~ 1 star~ https://restaurant.michelin.fr/cmfchcva/louis-paris-09 
Michel et César Troisgros~ 42155~ 3 stars~ https://restaurant.michelin.fr/2cm53gy/troisgros-le-bois-sans-feuilles-ouches 
Yannick Alléno~ 73120~ 3 stars~ https://restaurant.michelin.fr/2eac1q1/le-1947-courchevel-1850 
~ 36100~ 1 star~ https://restaurant.michelin.fr/2f80e2p/au-14-fevrier-saint-valentin 
Didier Casaguana~ 24240~ 1 star~ https://restaurant.michelin.fr/2ax5yy8/les-fresques-monestier 
Christophe Le Fur~ 22530~ 1 star~ https://restaurant.michelin.fr/2a2flya/auberge-grandmaison-mur-de-bretagne 
Christophe Dupouy~ 40000~ 1 star~ https://restaurant.michelin.fr/2e0bvx8/les-clefs-dargent-mont-de-marsan 
Alexandre Fabris~ 20260~ 1 star~ https://restaurant.michelin.fr/2bs90l6/la-signoria-calvi 
Olivier Nasti~ 68240~ 2 stars~ https://restaurant.michelin.fr/2c30770n/la-table-dolivier-nasti-kaysersberg-vignoble 
Pascal Bardet~ 46150~ 2 stars~ https://restaurant.michelin.fr/2avrk5m/le-gindreau-saint-medard 
~ 75008~ 1 star~ https://restaurant.michelin.fr/2abdvpo/laurent-paris-08 
Stéphane Polly~ 07600~ 1 star~ https://restaurant.michelin.fr/2fay1do/le-vivarais-vals-les-bains 
Jean-Luc Lefrançois~ 06140~ 1 star~ https://restaurant.michelin.fr/2d1gnwo/le-saint-martin-vence 
Maximin Hellio~ 14800~ 1 star~ https://restaurant.michelin.fr/u945qtuv/maximin-hellio-deauville 
Arnaud Viel~ 61200~ 1 star~ https://restaurant.michelin.fr/28qk3fo/la-renaissance-argentan 
Jean-Luc Brendel~ 68340~ 1 star~ https://restaurant.michelin.fr/2aosxv6/la-table-du-gourmet-riquewihr 
Laurent Kleczewski~ 76550~ 1 star~ https://restaurant.michelin.fr/29d8fg4/le-colombier-offranville 
Philippe LABBÉ~ 75005~ 1 star~ https://restaurant.michelin.fr/2a8xf2a/la-tour-dargent-paris-05 
Nicolas Stamm~ 67210~ 2 stars~ https://restaurant.michelin.fr/2a5ztne/la-fourchette-des-ducs-obernai 
Eugène Hobraiche~ 59670~ 1 star~ https://restaurant.michelin.fr/6274yuk/haut-bonheur-de-la-table-cassel 
Éric Sampietro~ 32100~ 1 star~ https://restaurant.michelin.fr/2d7x1hk/la-table-des-cordeliers-condom 
Julien Dumas~ 75008~ 1 star~ https://restaurant.michelin.fr/2abav0l/lucas-carton-paris-08 
Marc Veyrat~ 74230~ 2 stars~ https://restaurant.michelin.fr/8zgzs262/la-maison-des-bois-marc-veyrat-manigod 
~ 67000~ 1 star~ https://restaurant.michelin.fr/amv21i8/1741-strasbourg 
Stéphane Tournié~ 31000~ 1 star~ https://restaurant.michelin.fr/2b3631b/stephane-tournie-les-jardins-de-lopera-toulouse 
Loïc Villemin~ 57380~ 1 star~ https://restaurant.michelin.fr/3vxe9bf/toya-faulquemont 
Jean-Jacques Noguier~ 74160~ 1 star~ https://restaurant.michelin.fr/2atzy38/la-ferme-de-lhospital-bossey 
Ivan Lavaux~ 01500~ 1 star~ https://restaurant.michelin.fr/2dnoa2o/auberge-de-labbaye-ambronay 
~ 29840~ 1 star~ https://restaurant.michelin.fr/2nnu14s6/le-chateau-de-sable-porspoder 
Amélie Darvas~ 34320~ 1 star~ https://restaurant.michelin.fr/4040591/aponem-auberge-du-presbytere-vailhan 
Takashi Kinoshita~ 21520~ 1 star~ https://restaurant.michelin.fr/2emcabb/chateau-de-courban-courban 
Manuel Martinez~ 75006~ 1 star~ https://restaurant.michelin.fr/2a92anu/relais-louis-xiii-paris-06 
Jérôme Jaegle~ 68240~ 1 star~ https://restaurant.michelin.fr/ua3c2rxf/lalchemille-kaysersberg-vignoble 
Christophe Poirier~ 27480~ 1 star~ https://restaurant.michelin.fr/2ehwc2a/la-licorne-royale-lyons-la-foret 
Nicolas Beaumann~ 75017~ 2 stars~ https://restaurant.michelin.fr/2afdah0/maison-rostang-paris-17 
Frank Renimel~ 31320~ 1 star~ https://restaurant.michelin.fr/q8lel2a/en-marge-aureville 
Lucien Keff~ 57330~ 1 star~ https://restaurant.michelin.fr/2bavyqh/la-lorraine-zoufftgen 
Vincent Arnould~ 24510~ 1 star~ https://restaurant.michelin.fr/2cz3yz2/le-vieux-logis-tremolat 
Jérôme Mamet~ 74140~ 1 star~ https://restaurant.michelin.fr/2dr6qsw/o-flaveurs-douvaine 
Julien Poisot~ 46090~ 1 star~ https://restaurant.michelin.fr/2blc3qr/le-dueze-mercues 
