Hotel~ Zipcode~ Chef 
Hotel & Restaurant Thierry Drapeau~ 85260~ Thierry Drapeau 
Maison Decoret~ 03200~ Jacques Decoret 
Lucas Carton~ 75008~ Julien Dumas 
Baumanière Hôtel & Spa~ 13520~ Glenn Viel 
Michel Trama~ 47270~ Michel Trama 
Hotel Ile de la Lagune Thalasso & Spa~ 66750~ Christophe Schmitt 
Georges Blanc Parc & Spa~ 01540~ Georges Blanc 
Château de Drudas~ 31480~ Axell Boisselier 
Les Hautes Roches~ 37210~ Didier Edon 
Auberge du Jeu de Paume~ 60500~ Julien Lucas 
Monte-Carlo Beach~ 06190~ Paolo Sari 
Les Prés d’Eugénie - Maison Guérard~ 40320~ Michel Guérard 
La Chapelle Saint-Martin~ 87510~ Gilles Dudognon 
Hôtel Splendide Royal Paris~ 75008~ Vito Grippa 
La Signoria & Spa~ 20260~ Alexandre Fabris 
La Bastide~ 32150~ Jérôme Artiguebère 
Restaurant Alexandre~ 30128~ Michel Kayser 
L’Hôtel de Toiras & Villa Clarisse~ 17410~ Antonio Sanna 
Domaine de la Bretesche Golf & Spa~ 44780~ Frédéric Murati 
La Grande Maison de Bernard Magrez~ 33000~ Jean-Denis Le Bras - Pierre Gagnaire 
L'Auberge Basque~ 64310~ Cédric Béchade 
Château de Codignat~ 63190~ Mathieu Barbet 
L’Arnsbourg Restaurant et Hôtel~ 57230~ Fabien Mengus 
Hostellerie de Levernois~ 21200~ Philippe Augé 
Château de Noirieux~ 49125~ Christophe Guillemot 
Restaurant Christopher Coutanceau~ 17000~ Christopher Coutanceau 
Les Bergeries de Palombaggia~ 20137~ Jean-Jacques Gauthier 
Pierre Gagnaire~ 75008~ Pierre Gagnaire 
Le Phébus & Spa - Villa des Anges~ 84220~ Xavier Mathieu 
Le Couvent des Minimes Hôtel & Spa L'Occitane~ 04300~ Jérôme ROY 
Château des Avenières~ 74350~ Anthony Laboubé 
Restaurant Gill~ 76000~ Gilles Tournadre 
Le Saint-James Bouliac~ 33270~ Nicolas Magie 
Auberge des Templiers~ 45290~ Martin Simonart 
Le Petit Nice-Passedat~ 13007~ Gérald Passedat 
Restaurant Guy Lassausaie~ 69380~ Guy Lassausaie 
Le Chambard~ 68240~ Olivier Nasti 
Domaine Les Crayères~ 51100~ Philippe Mille 
Château d’Audrieu~ 14250~ Olivier Barbarin 
L’Oasis~ 06210~ Alain Montigny 
Hôtel-Spa La Bouitte – Restaurant René et Maxime Meilleur~ 73440~ René and Maxime Meilleur 
Les Maisons de Bricourt~ 35350~ Olivier & Hugo Roellinger 
Domaine d’Auriac~ 11009~ Philippe Deschamps 
Abbaye de la Bussière~ 21360~ Guillaume Royer 
Hameau Albert Ier~ 74402~ Damien Leveau 
Manoir de Lan-Kerellec~ 22560~ Anthony Avoine 
Hôtel & Spa du Castellet~ 83330~ Christophe Bacquié 
Château de La Chèvre d’Or~ 06360~ Arnaud Faye 
Domaine de Rochevilaine~ 56190~ Maxime Nouail 
Passage 53~ 75002~ Shinichi Sato 
Les Hauts de Loire~ 41150~ Rémy Giraud 
La Bonne Étape~ 04160~ Jany Gleize 
Château de Courcelles~ 02220~ Lucas Vannier 
Château de Valmer~ 83420~ Jimmy Coutel 
Bas Rupts~ 88400~ Michel Philippe 
Le Relais Bernard Loiseau – Spa Loiseau des Sens~ 21210~ Patrick Bertron 
Maison Pic~ 26000~ Anne-Sophie Pic 
Château d’Adoménil~ 54300~ Cyril Leclerc 
Château de Rochegude~ 26790~ Thierry Frebout 
Villa Gallici~ 13100~ Christophe Gavot 
Château de Berne~ 83780~ Benjamin Collombat 
Saint James Paris~ 75116~ Adrien Brunet 
Château de Montreuil~ 62170~ Jean-Marie Le Guen 
Le Grand Véfour~ 75001~ Guy Martin 
Hostellerie La Briqueterie~ 51530~ Thomas Debouzy 
La Côte Saint Jacques & Spa~ 89300~ Jean-Michel Lorain 
Le Castel Marie-Louise~ 44504~ Eric Mignard 
Le Pré Catelan~ 75016~ Frédéric Anton 
Tiara Yaktsa~ 06590~ Guillaume Anor 
Château de Locguénolé~ 56700~ Jérémie Louis 
Hostellerie La Cheneaudière & Spa~ 67420~ Roger Bouhassoun 
Hôtel de la Plage~ 29550~ Yoann Noël 
Villa René Lalique~ 67290~ Jean-Georges Klein 
Château de la Treyne~ 46200~ Stéphane Andrieux 
Brittany & Spa~ 29681~ Loic Le Bail 
Le Suquet, Sébastien Bras~ 12210~ Sébastien Bras 
La Bastide Saint-Antoine~ 06130~ Laurent Barberot 
La Villa Calvi~ 20260~ Jerome Voltzenlogel 
Assiette Champenoise~ 51430~ Arnaud Lallement 
Château de Mercuès~ 46090~ Julien Poisot 
Restaurant Pierre Orsi~ 69006~ Pierre Orsi 
La Bastide de Capelongue~ 84480~ Édouard Loubet 
Yoann Conte – Bord du Lac Hôtel Restaurant~ 74290~ Yoann Conte 
Hôtel Les Barmes de l'Ours~ 73150~ Antoine Gras 
La Grenouillère~ 62170~ Alexandre Gauthier 
La Pyramide Patrick Henriroux~ 38200~ Patrick Henriroux 
Hôtel Restaurant En Marge~ 31320~ Frank Renimel 
Relais de la Poste~ 40140~ Jean Coussau 
Le Club de Cavalière & Spa~ 83980~ Marc Dach 
Grand Hôtel de Cala Rossa & Spa~ 20137~ Pascal Cayeux 
Le Mas de Pierre~ 06570~ Emmanuel Lehrer 
Hôtel Restaurant Clos des Sens - Laurent PETIT~ 74940~ Laurent Petit 
Jiva Hill Resort~ 01170~ Vincent Betton 
Hôtel Le Chabichou Restaurants & Spa~ 73120~ Michel Rochedy & Stéphane Buron 
Château de Noizay~ 37210~ Frédéric Collin 
Au Crocodile~ 67000~ Franck Pelux 
Royal Champagne Hotel & Spa~ ~  
Château de Germigney~ 39600~ Pierre Basso-Moro 
La Réserve~ 81000~ Benoit Solomiac 
La Maison des Bois – Marc Veyrat~ 74230~ Marc Veyrat 
Flocons de Sel~ 74120~ Emmanuel Renaut 
Cazaudehore « La Forestière »~ 78100~ Gregory Balland 
Castel Clara Thalasso & Spa~ 56360~ Franck Moisan 
Cap d’Antibes Beach Hotel~ 06160~ Nicolas Rondelli 
Clarance Hôtel~ 59000~ Thibaut Gamba 
Maison Lameloise~ 71150~ Eric Pras 
Maison Rostang~ 75017~ Michel Rostang and Nicolas Beaumann 
Hôtel Parc Victoria~ 64500~ Guillaume Applaincourt 
Moulin de l’Abbaye~ 24310~ Jean Michel Bardet 
La Ferme Saint-Siméon~ 14600~ Sébastien Faramond 
Coquillade Village~ 84400~ Thierry Enderlin 
Restaurant Mirazur~ 06500~ Mauro Colagreco 
Pan Deï Palais~ 83990~ Quentin Durand 
Hôtel et Restaurant Régis et Jacques Marcon~ 43290~ Régis & Jacques Marcon 
Le Domaine de Verchant~ 34170~ Damien Cousseau 
Le Vieux Logis~ 24510~ Vincent Arnould 
Château de Fonscolombe~ 13610~ Nadège Serret 
Château de Riell~ 66500~ Sébastien Nouveau 
Hôtel Impérial Garoupe~ 06600~ Pierre-Alain Garnier 
Hôtel Crillon le Brave~ 84410~ Julien Marseault 
Grand Hôtel du Lion d’Or~ 41200~ Didier Clément 
Au Cœur du Village Hôtel & Spa~ 74220~ Cédric Heurtebise & Vincent Deforce 
Hôtel Restaurant Auberge du Père Bise – Jean Sulpice~ ~  
Château de Bagnols~ 69620~ Jean-Alexandre Ouaratta 
Château Cordeillan-Bages~ 33250~ Julien Lefebvre 
Villa Florentine~ 69005~ David Delsart 
